Number of Femicide,"Rate per 100,000 population",Age (Cleaned),Country Code,Country Name,Region,Subregion,Indicator,Age,Year
2,0.637385191,27,CZE,Czechia,Europe,Eastern Europe,Victims of intentional homicide,25-29,1/1/2019 12:00:00 AM
36,1.069550651,27,TUR,Türkiye,Asia,Western Asia,Victims of intentional homicide,25-29,1/1/2020 12:00:00 AM
0,0,5,LTU,Lithuania,Europe,Northern Europe,Victims of intentional homicide,0-9,1/1/2019 12:00:00 AM
1,11.125326806,22,BRB,Barbados,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2018 12:00:00 AM
4,0.600433813,27,CHL,Chile,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2011 12:00:00 AM
1,0.399063000,22,HUN,Hungary,Europe,Eastern Europe,Victims of intentional homicide,20-24,1/1/2021 12:00:00 AM
0,0,5,CZE,Czechia,Europe,Eastern Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2015 12:00:00 AM
4,3.130723354,27,JAM,Jamaica,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2017 12:00:00 AM
7,5.734860991,27,URY,Uruguay,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2019 12:00:00 AM
0,0,22,BRB,Barbados,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2021 12:00:00 AM
0,0,27,GBR_S,United Kingdom (Scotland),Europe,Northern Europe,Victims of intentional homicide,25-29,1/1/2016 12:00:00 AM
6,12.145626056,22,TTO,Trinidad and Tobago,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2017 12:00:00 AM
0,0,27,ISL,Iceland,Europe,Northern Europe,Victims of intentional homicide,25-29,1/1/2022 12:00:00 AM
4,0.731135783,22,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2021 12:00:00 AM
3,12.602394455,27,SUR,Suriname,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2022 12:00:00 AM
18,1.547473256,22,CAN,Canada,Americas,Northern America,Victims of intentional homicide,20-24,1/1/2017 12:00:00 AM
0,0,27,PRT,Portugal,Europe,Southern Europe,Victims of intentional homicide,25-29,1/1/2020 12:00:00 AM
1,0.559819514,22,DNK,Denmark,Europe,Northern Europe,Victims of intentional homicide,20-24,1/1/2013 12:00:00 AM
2,1.208839031,27,NOR,Norway,Europe,Northern Europe,Victims of intentional homicide,25-29,1/1/2013 12:00:00 AM
9,1.247452252,22,CHL,Chile,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2020 12:00:00 AM
3,1.465187153,27,CRI,Costa Rica,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2013 12:00:00 AM
0,0,5,ISL,Iceland,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2021 12:00:00 AM
1,0.780067710,5,XKX,Kosovo under UNSCR 1244,Europe,Southern Europe,Victims of intentional homicide,0-9,1/1/2018 12:00:00 AM
0,0,27,LCA,Saint Lucia,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2019 12:00:00 AM
2,1.957722972,27,HRV,Croatia,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2022 12:00:00 AM
0,0,27,CHE,Switzerland,Europe,Western Europe,Victims of intentional homicide,25-29,1/1/2011 12:00:00 AM
5,1.036762564,22,JOR,Jordan,Asia,Western Asia,Victims of intentional homicide,20-24,1/1/2021 12:00:00 AM
1,12.538398846,27,LCA,Saint Lucia,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2022 12:00:00 AM
34,0.985725963,22,TUR,Türkiye,Asia,Western Asia,Victims of intentional homicide,20-24,1/1/2018 12:00:00 AM
17,0.881406497,5,CAN,Canada,Americas,Northern America,Victims of intentional homicide,0-9,1/1/2021 12:00:00 AM
1,13.010668748,27,LCA,Saint Lucia,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2018 12:00:00 AM
0,0,27,KNA,Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2022 12:00:00 AM
12,0.545225303,22,DEU,Germany,Europe,Western Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2020 12:00:00 AM
2,2.105684295,27,LTU,Lithuania,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2014 12:00:00 AM
1,0.344257188,27,AUT,Austria,Europe,Western Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2016 12:00:00 AM
3,1.090098454,27,CHE,Switzerland,Europe,Western Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2015 12:00:00 AM
3,0.319844087,27,AUS,Australia,Oceania,Australia and New Zealand,Victims of intentional homicide,25-29,1/1/2020 12:00:00 AM
0,0,27,SRB,Serbia,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2014 12:00:00 AM
91,0.826798446,5,MEX,Mexico,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2016 12:00:00 AM
0,0,5,NOR,Norway,Europe,Northern Europe,Victims of intentional homicide,0-9,1/1/2018 12:00:00 AM
3,2.886530487,22,LTU,Lithuania,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2013 12:00:00 AM
0,0,27,AND,Andorra,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2009 12:00:00 AM
24,1.907593773,27,CAN,Canada,Americas,Northern America,Victims of intentional homicide,25-29,1/1/2018 12:00:00 AM
0,0,22,KNA,Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2021 12:00:00 AM
0,0,5,VCT,Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2020 12:00:00 AM
36,1.062557168,27,TUR,Türkiye,Asia,Western Asia,Victims of intentional homicide,25-29,1/1/2017 12:00:00 AM
0,0,22,ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2017 12:00:00 AM
0,0,5,AUS,Australia,Oceania,Australia and New Zealand,Persons arrested/suspected for intentional homicide,0-9,1/1/2014 12:00:00 AM
0,0,27,BIH,Bosnia and Herzegovina,Europe,Southern Europe,Victims of intentional homicide,25-29,1/1/2020 12:00:00 AM
0,0,5,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,0-9,1/1/2018 12:00:00 AM
1,0.370862794,27,SGP,Singapore,Asia,South-eastern Asia,Victims of intentional homicide,25-29,1/1/2020 12:00:00 AM
0,0,22,SVN,Slovenia,Europe,Southern Europe,Victims of intentional homicide,20-24,1/1/2013 12:00:00 AM
27,5.134695422,27,NLD,Netherlands (Kingdom of the),Europe,Western Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2014 12:00:00 AM
0,0,22,GBR_NI,United Kingdom (Northern Ireland),Europe,Northern Europe,Victims of intentional homicide,20-24,1/1/2014 12:00:00 AM
154,6.793971277,27,KEN,Kenya,Africa,Sub-Saharan Africa,Victims of intentional homicide,25-29,1/1/2022 12:00:00 AM
0,0,27,LTU,Lithuania,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2021 12:00:00 AM
6,1.410085874,5,CHE,Switzerland,Europe,Western Europe,Victims of intentional homicide,0-9,1/1/2020 12:00:00 AM
1,0.361508720,27,CHE,Switzerland,Europe,Western Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2020 12:00:00 AM
24,1.981519032,5,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2019 12:00:00 AM
11,0.521972306,22,DEU,Germany,Europe,Western Europe,Victims of intentional homicide,20-24,1/1/2022 12:00:00 AM
4,0.349657227,27,POL,Poland,Europe,Eastern Europe,Victims of intentional homicide,25-29,1/1/2022 12:00:00 AM
1,0.310161672,5,SRB,Serbia,Europe,Southern Europe,Victims of intentional homicide,0-9,1/1/2020 12:00:00 AM
0,0,27,HKG,"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Victims of intentional homicide,25-29,1/1/2021 12:00:00 AM
0,0,27,SUR,Suriname,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2017 12:00:00 AM
1,0.402026212,22,AUT,Austria,Europe,Western Europe,Victims of intentional homicide,20-24,1/1/2020 12:00:00 AM
5,0.275515034,22,GBR_E_W,United Kingdom (England and Wales),Europe,Northern Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2017 12:00:00 AM
1,4.029577096,27,CPV,Cabo Verde,Africa,Sub-Saharan Africa,Victims of intentional homicide,25-29,1/1/2017 12:00:00 AM
15,2.728202796,22,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2022 12:00:00 AM
1,6.491188212,22,BHS,Bahamas,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2011 12:00:00 AM
0,0,22,BTN,Bhutan,Asia,Southern Asia,Victims of intentional homicide,20-24,1/1/2020 12:00:00 AM
11,7.708236250,27,MNG,Mongolia,Asia,Eastern Asia,Victims of intentional homicide,25-29,1/1/2013 12:00:00 AM
0,0,27,GBR_NI,United Kingdom (Northern Ireland),Europe,Northern Europe,Victims of intentional homicide,25-29,1/1/2013 12:00:00 AM
0,0,5,ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2017 12:00:00 AM
7,4.419164020,27,PAN,Panama,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2016 12:00:00 AM
31,5.820109794,22,NLD,Netherlands (Kingdom of the),Europe,Western Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2013 12:00:00 AM
2,0.467331758,5,CHE,Switzerland,Europe,Western Europe,Victims of intentional homicide,0-9,1/1/2021 12:00:00 AM
3,1.401472948,5,URY,Uruguay,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2020 12:00:00 AM
0,0,22,KNA,Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2019 12:00:00 AM
5,5.253480431,27,LTU,Lithuania,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2011 12:00:00 AM
0,0,27,KNA,Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2019 12:00:00 AM
3,0.744078991,5,CHE,Switzerland,Europe,Western Europe,Victims of intentional homicide,0-9,1/1/2015 12:00:00 AM
0,0,5,HRV,Croatia,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2018 12:00:00 AM
13,1.682337206,22,ECU,Ecuador,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2022 12:00:00 AM
2,1.215358485,22,FIN,Finland,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2016 12:00:00 AM
3,1.174253322,27,CHE,Switzerland,Europe,Western Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2010 12:00:00 AM
0,0,22,MLT,Malta,Europe,Southern Europe,Victims of intentional homicide,20-24,1/1/2016 12:00:00 AM
6,0.727515232,22,AUS,Australia,Oceania,Australia and New Zealand,Victims of intentional homicide,20-24,1/1/2015 12:00:00 AM
20,1.062374391,27,FRA,France,Europe,Western Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2018 12:00:00 AM
22,4.864528412,27,DOM,Dominican Republic,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2018 12:00:00 AM
8,0.708514484,22,ESP,Spain,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2016 12:00:00 AM
0,0,22,CHE,Switzerland,Europe,Western Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2017 12:00:00 AM
0,0,5,CAN,Canada,Americas,Northern America,Persons arrested/suspected for intentional homicide,0-9,1/1/2020 12:00:00 AM
0,0,5,LVA,Latvia,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2020 12:00:00 AM
23,0.898011120,27,DEU,Germany,Europe,Western Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2015 12:00:00 AM
3,0.741374112,5,AUT,Austria,Europe,Western Europe,Victims of intentional homicide,0-9,1/1/2016 12:00:00 AM
0,0,22,LTU,Lithuania,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2016 12:00:00 AM
1,1.631214929,27,GBR_NI,United Kingdom (Northern Ireland),Europe,Northern Europe,Victims of intentional homicide,25-29,1/1/2018 12:00:00 AM
28,0.758425087,5,DEU,Germany,Europe,Western Europe,Victims of intentional homicide,0-9,1/1/2018 12:00:00 AM
3,1.056661724,5,GBR_S,United Kingdom (Scotland),Europe,Northern Europe,Victims of intentional homicide,0-9,1/1/2014 12:00:00 AM
16,0.454843170,5,GBR_E_W,United Kingdom (England and Wales),Europe,Northern Europe,Victims of intentional homicide,0-9,1/1/2016 12:00:00 AM
0,0,22,BIH,Bosnia and Herzegovina,Europe,Southern Europe,Victims of intentional homicide,20-24,1/1/2019 12:00:00 AM
1,0.960937875,27,HRV,Croatia,Europe,Southern Europe,Victims of intentional homicide,25-29,1/1/2019 12:00:00 AM
0,0,22,GBR_S,United Kingdom (Scotland),Europe,Northern Europe,Victims of intentional homicide,20-24,1/1/2015 12:00:00 AM
0,0,5,NOR,Norway,Europe,Northern Europe,Victims of intentional homicide,0-9,1/1/2020 12:00:00 AM
255,2.191904412,27,USA,United States of America,Americas,Northern America,Persons arrested/suspected for intentional homicide,25-29,1/1/2018 12:00:00 AM
1,0.568506448,27,SVK,Slovakia,Europe,Eastern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2020 12:00:00 AM
0,0,22,CPV,Cabo Verde,Africa,Sub-Saharan Africa,Persons arrested/suspected for intentional homicide,20-24,1/1/2017 12:00:00 AM
0,0,22,GBR_S,United Kingdom (Scotland),Europe,Northern Europe,Victims of intentional homicide,20-24,1/1/2021 12:00:00 AM
0,0,22,ARM,Armenia,Asia,Western Asia,Persons arrested/suspected for intentional homicide,20-24,1/1/2016 12:00:00 AM
0,0,5,DNK,Denmark,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2019 12:00:00 AM
0,0,5,GBR_NI,United Kingdom (Northern Ireland),Europe,Northern Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2019 12:00:00 AM
3,19.974033756,27,BHS,Bahamas,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2013 12:00:00 AM
3,1.482458806,27,SRB,Serbia,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2020 12:00:00 AM
0,0,27,VCT,Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2022 12:00:00 AM
21,2.699343288,22,ECU,Ecuador,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2020 12:00:00 AM
2,1.171659891,27,FIN,Finland,Europe,Northern Europe,Victims of intentional homicide,25-29,1/1/2017 12:00:00 AM
262,2.376698557,22,USA,United States of America,Americas,Northern America,Persons arrested/suspected for intentional homicide,20-24,1/1/2015 12:00:00 AM
17,0.933747844,22,FRA,France,Europe,Western Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2016 12:00:00 AM
11,5.665284681,22,CRI,Costa Rica,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2021 12:00:00 AM
9,0.704141054,27,ESP,Spain,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2018 12:00:00 AM
16,0.692644591,22,DEU,Germany,Europe,Western Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2013 12:00:00 AM
19,1.470887080,27,CAN,Canada,Americas,Northern America,Victims of intentional homicide,25-29,1/1/2022 12:00:00 AM
109,1.020845191,5,MEX,Mexico,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2020 12:00:00 AM
7,1.574059499,22,HND,Honduras,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2014 12:00:00 AM
10,1.911409971,27,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2022 12:00:00 AM
0,0,5,TTO,Trinidad and Tobago,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,0-9,1/1/2020 12:00:00 AM
0.820224719,0.307553899,22,PRT,Portugal,Europe,Southern Europe,Victims of intentional homicide,20-24,1/1/2019 12:00:00 AM
0,0,5,CZE,Czechia,Europe,Eastern Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2020 12:00:00 AM
4,0.058369428,5,KEN,Kenya,Africa,Sub-Saharan Africa,Persons arrested/suspected for intentional homicide,0-9,1/1/2020 12:00:00 AM
1,1.051884188,27,LTU,Lithuania,Europe,Northern Europe,Victims of intentional homicide,25-29,1/1/2013 12:00:00 AM
1,5.868889019,27,BHS,Bahamas,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2022 12:00:00 AM
4,0.279111602,22,ITA,Italy,Europe,Southern Europe,Victims of intentional homicide,20-24,1/1/2022 12:00:00 AM
0,0,22,DMA,Dominica,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2020 12:00:00 AM
0,0,22,MLT,Malta,Europe,Southern Europe,Victims of intentional homicide,20-24,1/1/2022 12:00:00 AM
2.969072165,0.996045492,27,PRT,Portugal,Europe,Southern Europe,Victims of intentional homicide,25-29,1/1/2013 12:00:00 AM
0,0,22,BLZ,Belize,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2018 12:00:00 AM
0,0,27,ISL,Iceland,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2022 12:00:00 AM
0,0,5,SUR,Suriname,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,0-9,1/1/2019 12:00:00 AM
0,0,22,SVN,Slovenia,Europe,Southern Europe,Victims of intentional homicide,20-24,1/1/2022 12:00:00 AM
212,1.856974509,27,USA,United States of America,Americas,Northern America,Persons arrested/suspected for intentional homicide,25-29,1/1/2016 12:00:00 AM
0,0,22,SVN,Slovenia,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2021 12:00:00 AM
0,0,5,DMA,Dominica,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,0-9,1/1/2017 12:00:00 AM
0,0,22,SUR,Suriname,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2019 12:00:00 AM
60,4.606418045,27,PER,Peru,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2016 12:00:00 AM
2,0.962649211,22,SRB,Serbia,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2015 12:00:00 AM
16,1.349258519,27,CAN,Canada,Americas,Northern America,Victims of intentional homicide,25-29,1/1/2011 12:00:00 AM
1,0.577183920,5,HRV,Croatia,Europe,Southern Europe,Victims of intentional homicide,0-9,1/1/2021 12:00:00 AM
1,5.870956379,27,BLZ,Belize,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2017 12:00:00 AM
1,6.243756244,22,BHS,Bahamas,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2019 12:00:00 AM
1.688073394,0.610953395,22,PRT,Portugal,Europe,Southern Europe,Victims of intentional homicide,20-24,1/1/2014 12:00:00 AM
1,27.434842250,27,VCT,Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2017 12:00:00 AM
4,0.449924778,5,NLD,Netherlands (Kingdom of the),Europe,Western Europe,Victims of intentional homicide,0-9,1/1/2017 12:00:00 AM
0,0,5,EST,Estonia,Europe,Northern Europe,Victims of intentional homicide,0-9,1/1/2021 12:00:00 AM
20,0.828494408,27,DEU,Germany,Europe,Western Europe,Victims of intentional homicide,25-29,1/1/2020 12:00:00 AM
3,0.299249184,22,POL,Poland,Europe,Eastern Europe,Victims of intentional homicide,20-24,1/1/2020 12:00:00 AM
1,0.725018579,22,IRL,Ireland,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2017 12:00:00 AM
1,0.601498332,27,FIN,Finland,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2015 12:00:00 AM
18,14.088255091,27,JAM,Jamaica,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2017 12:00:00 AM
4,1.553968350,22,HUN,Hungary,Europe,Eastern Europe,Victims of intentional homicide,20-24,1/1/2020 12:00:00 AM
0,0,27,SUR,Suriname,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2019 12:00:00 AM
2,1.379928934,22,SVK,Slovakia,Europe,Eastern Europe,Victims of intentional homicide,20-24,1/1/2019 12:00:00 AM
0,0,5,ISL,Iceland,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2022 12:00:00 AM
8,0.947372285,22,AUS,Australia,Oceania,Australia and New Zealand,Persons arrested/suspected for intentional homicide,20-24,1/1/2017 12:00:00 AM
17,0.766726419,22,DEU,Germany,Europe,Western Europe,Victims of intentional homicide,20-24,1/1/2015 12:00:00 AM
1.484536082,0.307308694,5,PRT,Portugal,Europe,Southern Europe,Victims of intentional homicide,0-9,1/1/2013 12:00:00 AM
0,0,5,SUR,Suriname,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,0-9,1/1/2017 12:00:00 AM
0,0,5,CPV,Cabo Verde,Africa,Sub-Saharan Africa,Victims of intentional homicide,0-9,1/1/2017 12:00:00 AM
17,0.900688258,22,FRA,France,Europe,Western Europe,Victims of intentional homicide,20-24,1/1/2019 12:00:00 AM
0,0,5,MNE,Montenegro,Europe,Southern Europe,Victims of intentional homicide,0-9,1/1/2021 12:00:00 AM
290,2.627201391,27,USA,United States of America,Americas,Northern America,Victims of intentional homicide,25-29,1/1/2014 12:00:00 AM
4,0.548754807,22,CHL,Chile,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2018 12:00:00 AM
28,1.440092907,27,FRA,France,Europe,Western Europe,Victims of intentional homicide,25-29,1/1/2015 12:00:00 AM
79,17.356743699,22,HND,Honduras,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2015 12:00:00 AM
0,0,22,HRV,Croatia,Europe,Southern Europe,Victims of intentional homicide,20-24,1/1/2017 12:00:00 AM
0,0,22,BTN,Bhutan,Asia,Southern Asia,Persons arrested/suspected for intentional homicide,20-24,1/1/2020 12:00:00 AM
0,0,27,IRL,Ireland,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2019 12:00:00 AM
0,0,5,POL,Poland,Europe,Eastern Europe,Victims of intentional homicide,0-9,1/1/2016 12:00:00 AM
1,0.410616911,27,SRB,Serbia,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2013 12:00:00 AM
0,0,27,AND,Andorra,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2010 12:00:00 AM
2,0.229772680,5,NLD,Netherlands (Kingdom of the),Europe,Western Europe,Victims of intentional homicide,0-9,1/1/2021 12:00:00 AM
182,9.016665721,27,COL,Colombia,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2017 12:00:00 AM
0,0,5,JPN,Japan,Asia,Eastern Asia,Persons arrested/suspected for intentional homicide,0-9,1/1/2015 12:00:00 AM
11,0.625181516,5,LKA,Sri Lanka,Asia,Southern Asia,Persons arrested/suspected for intentional homicide,0-9,1/1/2016 12:00:00 AM
0,0,22,IRL,Ireland,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2021 12:00:00 AM
3,1.291908989,22,CZE,Czechia,Europe,Eastern Europe,Victims of intentional homicide,20-24,1/1/2020 12:00:00 AM
0,0,5,LIE,Liechtenstein,Europe,Western Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2016 12:00:00 AM
0,0,27,ISL,Iceland,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2019 12:00:00 AM
1,0.539146047,22,DNK,Denmark,Europe,Northern Europe,Victims of intentional homicide,20-24,1/1/2020 12:00:00 AM
3,7.470119522,22,LVA,Latvia,Europe,Northern Europe,Victims of intentional homicide,20-24,1/1/2020 12:00:00 AM
1,0.555864369,27,NOR,Norway,Europe,Northern Europe,Victims of intentional homicide,25-29,1/1/2020 12:00:00 AM
5,0.395124012,27,ESP,Spain,Europe,Southern Europe,Victims of intentional homicide,25-29,1/1/2021 12:00:00 AM
15,11.415829189,27,MNG,Mongolia,Asia,Eastern Asia,Victims of intentional homicide,25-29,1/1/2019 12:00:00 AM
0,0,5,CHE,Switzerland,Europe,Western Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2016 12:00:00 AM
0,0,5,LTU,Lithuania,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2017 12:00:00 AM
86,4.181469962,27,KEN,Kenya,Africa,Sub-Saharan Africa,Victims of intentional homicide,25-29,1/1/2016 12:00:00 AM
3,0.186165715,27,ITA,Italy,Europe,Southern Europe,Victims of intentional homicide,25-29,1/1/2017 12:00:00 AM
2,0.821233822,27,SRB,Serbia,Europe,Southern Europe,Victims of intentional homicide,25-29,1/1/2013 12:00:00 AM
0,0,27,ISL,Iceland,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2018 12:00:00 AM
65,1.984821914,22,TUR,Türkiye,Asia,Western Asia,Persons arrested/suspected for intentional homicide,20-24,1/1/2015 12:00:00 AM
3,0.781412794,5,CHE,Switzerland,Europe,Western Europe,Victims of intentional homicide,0-9,1/1/2012 12:00:00 AM
0,0,22,BLZ,Belize,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2021 12:00:00 AM
0,0,5,GUY,Guyana,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2016 12:00:00 AM
8,0.528037992,5,ECU,Ecuador,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2018 12:00:00 AM
1,10.900964735,27,BRB,Barbados,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2021 12:00:00 AM
9,15.347100251,27,TTO,Trinidad and Tobago,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2017 12:00:00 AM
1,0.548609549,22,GBR_S,United Kingdom (Scotland),Europe,Northern Europe,Victims of intentional homicide,20-24,1/1/2016 12:00:00 AM
0,0,5,URY,Uruguay,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,0-9,1/1/2016 12:00:00 AM
3,0.561858779,27,NLD,Netherlands (Kingdom of the),Europe,Western Europe,Victims of intentional homicide,25-29,1/1/2015 12:00:00 AM
4,2.172124582,22,DNK,Denmark,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2022 12:00:00 AM
0,0,22,HKG,"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Victims of intentional homicide,20-24,1/1/2016 12:00:00 AM
57,1.669530253,27,TUR,Türkiye,Asia,Western Asia,Persons arrested/suspected for intentional homicide,25-29,1/1/2019 12:00:00 AM
177,8.477724062,22,COL,Colombia,Americas,Latin America and the Caribbean,Victims of intentional homicide,20-24,1/1/2015 12:00:00 AM
