Number of Femicide,"Rate per 100,000 population",Age (Cleaned),Country Code,Country Name,Region,Subregion,Indicator,Age,Year
0,0,27,SVN,Slovenia,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2022 12:00:00 AM
11,0.561936658,22,FRA,France,Europe,Western Europe,Victims of intentional homicide,20-24,1/1/2022 12:00:00 AM
1,0.860859310,5,GBR_NI,United Kingdom (Northern Ireland),Europe,Northern Europe,Victims of intentional homicide,0-9,1/1/2021 12:00:00 AM
2,0.890135078,5,SGP,Singapore,Asia,South-eastern Asia,Victims of intentional homicide,0-9,1/1/2018 12:00:00 AM
0,0,27,SVN,Slovenia,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2012 12:00:00 AM
6,1.673605155,27,SWE,Sweden,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2018 12:00:00 AM
1,0.576910873,22,GBR_S,United Kingdom (Scotland),Europe,Northern Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2018 12:00:00 AM
0,0,5,LCA,Saint Lucia,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,0-9,1/1/2018 12:00:00 AM
17,0.266026284,5,TUR,Türkiye,Asia,Western Asia,Victims of intentional homicide,0-9,1/1/2021 12:00:00 AM
20,2.616509916,27,KAZ,Kazakhstan,Asia,Central Asia,Persons arrested/suspected for intentional homicide,25-29,1/1/2011 12:00:00 AM
0,0,5,GBR_NI,United Kingdom (Northern Ireland),Europe,Northern Europe,Victims of intentional homicide,0-9,1/1/2010 12:00:00 AM
1,0.371260019,22,AUT,Austria,Europe,Western Europe,Victims of intentional homicide,20-24,1/1/2015 12:00:00 AM
1,0.377665611,27,HKG,"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Persons arrested/suspected for intentional homicide,25-29,1/1/2020 12:00:00 AM
3,2.093963104,27,NZL,New Zealand,Oceania,Australia and New Zealand,Persons arrested/suspected for intentional homicide,25-29,1/1/2013 12:00:00 AM
1,0.583464613,22,GBR_S,United Kingdom (Scotland),Europe,Northern Europe,Victims of intentional homicide,20-24,1/1/2019 12:00:00 AM
0,0,5,ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,0-9,1/1/2022 12:00:00 AM
4,1.203793152,5,SRB,Serbia,Europe,Southern Europe,Victims of intentional homicide,0-9,1/1/2015 12:00:00 AM
0,0,5,LTU,Lithuania,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2018 12:00:00 AM
0,0,5,CHE,Switzerland,Europe,Western Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2019 12:00:00 AM
7,0.601585435,5,JOR,Jordan,Asia,Western Asia,Victims of intentional homicide,0-9,1/1/2021 12:00:00 AM
1,0.523258856,27,GBR_S,United Kingdom (Scotland),Europe,Northern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2019 12:00:00 AM
1,1.546551191,27,SVN,Slovenia,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2014 12:00:00 AM
0,0,27,VCT,Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2019 12:00:00 AM
